label,feat_hour_of_day,feat_day_of_week,feat_request_velocity,feat_app_risk_score,feat_is_allowlisted,feat_store_url_match,feat_bundle_anomaly,feat_device_risk_score,feat_is_emulator,feat_is_generic_make,feat_os_major_version,feat_screen_width,feat_screen_height,feat_session_duration,feat_concurrent_sessions,feat_bitrate,feat_geo_mismatch,feat_is_ssai,feat_mutation_count,feat_days_since_first_seen,feat_historical_risk,feat_known_bad_list
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,3852,1,6856,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,644,1,6405,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,3531,1,5397,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,4748,1,4561,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,1022,1,7622,0,0,0,0,0,0
1,13,0,0,0,1,1,0,20,0,0,12,1920,1080,1,20,5193,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,3195,1,4066,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,4987,1,4916,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,6036,1,7170,0,0,0,0,0,0
1,13,0,0,0,1,1,0,20,0,0,12,1920,1080,1,20,4730,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,1222,1,3570,0,0,0,0,0,0
1,13,0,0,50,0,1,1,10,0,0,12,1920,1080,3168,1,6357,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,272,1,4490,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,1611,1,7289,0,0,0,0,0,0
1,13,0,0,50,0,1,1,10,0,0,12,1920,1080,1788,1,5606,0,0,0,0,0,0
1,13,0,0,0,1,1,0,20,0,0,12,1920,1080,1,20,6291,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,5860,1,4685,0,0,0,0,0,0
1,13,0,0,0,1,1,0,20,0,0,12,1920,1080,1,20,4326,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,1395,1,5794,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,2077,1,6766,0,0,0,0,0,0
1,13,0,0,0,1,1,0,45,1,0,30,1920,1080,6655,1,7986,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,1200,1,3711,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,6034,1,5045,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,5086,1,3644,0,0,0,0,0,0
1,13,0,0,0,1,1,0,45,1,0,30,1920,1080,1232,1,3184,0,0,0,0,0,0
1,13,0,0,50,0,1,1,10,0,0,12,1920,1080,3734,1,5755,0,0,0,0,0,0
1,13,0,0,0,1,1,0,45,1,0,30,1920,1080,4213,1,5002,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,5671,1,4928,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,7187,1,6787,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,5437,1,4874,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,82,1,4511,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,1762,1,3586,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,4452,1,7084,0,0,0,0,0,0
1,13,0,0,0,1,1,0,45,1,0,30,1920,1080,3851,1,3730,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,6580,1,6472,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,1437,1,6564,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,3687,1,4113,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,2395,1,7292,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,2764,1,7652,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,2434,1,3370,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,5729,1,4336,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,5196,1,6295,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,2555,1,4291,0,0,0,0,0,0
0,13,0,0,0,1,1,0,0,0,0,12,1920,1080,5912,1,3059,0,0,0,0,0,0
